"tag","tag_group"
"Триллер","Кино"
"Ужасы","Кино"
"Фантастика","Кино"
"Боевик","Кино"
"Мелодрама","Кино"
"Анимация","Кино"
"Документальный фильм","Кино"
"Криминал","Кино"
"Приключения","Кино"
"Фэнтези","Кино"
"Биография","Кино"
"Исторический","Кино"
"Военный","Кино"
"Мюзикл","Кино"
"Вестерн","Кино"
"Спорт","Кино"
"Семейный","Кино"
"Детектив","Кино"
"Нуар","Кино"
"Психологический триллер","Кино"
"Аниме","Кино"
"Артхаус","Кино"
"Независимое кино","Кино"
"Короткометражка","Кино"
"Экшн-комедия","Кино"
"Черная комедия","Кино"
"Пародия","Кино"
"Романтическая комедия","Кино"
"Социальная драма","Кино"
"Политический триллер","Кино"
"Супергеройское кино","Кино"
"Мультфильм","Кино"
"Фильм-катастрофа","Кино"
"Эротика","Кино"
"Эпический фильм","Кино"
"Киберпанк","Кино"
"Гангстерский фильм","Кино"
"Кинобиография","Кино"
"Музыкальный фильм","Кино"
"Пеплум","Кино"
"Поэтический фильм","Кино"
"Пропагандистский фильм","Кино"
"Путешествия","Кино"
"Роуд-муви","Кино"
"Сказка","Кино"
"Спагетти-вестерн","Кино"
"Стоунер-фильм","Кино"
"Экспериментальное кино","Кино"
"Фантастика","Литература"
"Фэнтези","Литература"
"Роман","Литература"
"Детектив","Литература"
"Триллер","Литература"
"Биография","Литература"
"Автобиография","Литература"
"Научная литература","Литература"
"Поэзия","Литература"
"Классика","Литература"
"Драма","Литература"
"Исторический роман","Литература"
"Юмор","Литература"
"Мемуары","Литература"
"Приключения","Литература"
"Психологический роман","Литература"
"Современная проза","Литература"
"Эссе","Литература"
"Публицистика","Литература"
"Философия","Литература"
"Научная фантастика","Литература"
"Путешествия","Литература"
"Ужасы","Литература"
"Любовный роман","Литература"
"Детская литература","Литература"
"Юмористическая литература","Литература"
"Мистический роман","Литература"
"Киберпанк","Литература"
"Готический роман","Литература"
"Эпос","Литература"
"Эротика","Литература"
"Альтернативная история","Литература"
"Аудиокниги","Литература"
"Древняя литература","Литература"
"Новелла","Литература"
"Пьеса","Литература"
"Научно-популярная литература","Литература"
"Романтизм","Литература"
"Реализм","Литература"
"Сентиментализм","Литература"
"Экзистенциализм","Литература"
"Абсурдизм","Литература"
"Постмодернизм","Литература"
"Сюрреализм","Литература"
"Декаданс","Литература"
"Натурализм","Литература"
"Импрессионизм","Литература"
"Неореализм","Литература"
"Символизм","Литература"
"Дистопия","Литература"
"Рок","Музыка"
"Поп","Музыка"
"Джаз","Музыка"
"Классическая музыка","Музыка"
"Хип-хоп","Музыка"
"Электронная музыка","Музыка"
"Блюз","Музыка"
"Регги","Музыка"
"Кантри","Музыка"
"Фолк","Музыка"
"Метал","Музыка"
"Альтернатива","Музыка"
"Инди","Музыка"
"Ритм-н-блюз","Музыка"
"Соул","Музыка"
"Панк-рок","Музыка"
"Техно","Музыка"
"Хаус","Музыка"
"Транс","Музыка"
"Драм-н-бейс","Музыка"
"Латиноамериканская музыка","Музыка"
"Сальса","Музыка"
"Бачата","Музыка"
"Рэггетон","Музыка"
"Акустическая музыка","Музыка"
"Оркестровая музыка","Музыка"
"Опера","Музыка"
"Шансон","Музыка"
"Гранж","Музыка"
"Нью-эйдж","Музыка"
"Готик-рок","Музыка"
"Эмбиент","Музыка"
"Индастриал","Музыка"
"Лаунж","Музыка"
"Трип-хоп","Музыка"
"Рэп","Музыка"
"Хард-рок","Музыка"
"Симфоническая музыка","Музыка"
"Кантри-рок","Музыка"
"Психоделическая музыка","Музыка"
"Фанк","Музыка"
"Диско","Музыка"
"Боса-нова","Музыка"
"Джаз-фьюжн","Музыка"
"Гэм","Музыка"
"Лаундж","Музыка"
"Лоу-фай","Музыка"
"Чилаут","Музыка"
"Музыкальные саундтреки","Музыка"
"Экспериментальная музыка","Музыка"
"Предпринимательство","Бизнес"
"Маркетинг","Бизнес"
"Менеджмент","Бизнес"
"Инвестиции","Бизнес"
"Финансы","Бизнес"
"Стартупы","Бизнес"
"Экономика","Бизнес"
"Бизнес-планирование","Бизнес"
"Бизнес-модели","Бизнес"
"Продажи","Бизнес"
"Лидерство","Бизнес"
"Кризис-менеджмент","Бизнес"
"Корпоративная культура","Бизнес"
"Инновации","Бизнес"
"Стратегическое планирование","Бизнес"
"Ведение переговоров","Бизнес"
"Управление проектами","Бизнес"
"Анализ данных","Бизнес"
"Бухгалтерский учет","Бизнес"
"Управление рисками","Бизнес"
"Финансовый анализ","Бизнес"
"Корпоративные финансы","Бизнес"
"Венчурный капитал","Бизнес"
"Биржевая торговля","Бизнес"
"Стартап акселераторы","Бизнес"
"Управление персоналом","Бизнес"
"Краудфандинг","Бизнес"
"Социальное предпринимательство","Бизнес"
"Электронная коммерция","Бизнес"
"Разработка продукта","Бизнес"
"Бизнес-аналитика","Бизнес"
"Креативное предпринимательство","Бизнес"
"Маркетинговые исследования","Бизнес"
"Поведенческая экономика","Бизнес"
"Деловая этика","Бизнес"
"Брендинг","Бизнес"
"Консалтинг","Бизнес"
"Логистика","Бизнес"
"Цифровой маркетинг","Бизнес"
"Контент-маркетинг","Бизнес"
"Глобальный бизнес","Бизнес"
"Малый бизнес","Бизнес"
"Корпоративное управление","Бизнес"
"Торговля","Бизнес"
"Рынок труда","Бизнес"
"Потребительское поведение","Бизнес"
"Ценообразование","Бизнес"
"Управление изменениями","Бизнес"
"Анализ конкурентной среды","Бизнес"
"Бизнес-образование","Бизнес"
"Шутеры","Видеоигры"
"Ролевые игры (RPG)","Видеоигры"
"Стратегии","Видеоигры"
"Приключенческие игры","Видеоигры"
"Гоночные игры","Видеоигры"
"Симуляторы","Видеоигры"
"Спортивные игры","Видеоигры"
"Экшн-игры","Видеоигры"
"Головоломки","Видеоигры"
"Квесты","Видеоигры"
"ММО (Массовые многопользовательские онлайн-игры)","Видеоигры"
"Платформеры","Видеоигры"
"Аркады","Видеоигры"
"Виртуальная реальность (VR)","Видеоигры"
"Тактические игры","Видеоигры"
"Киберспорт","Видеоигры"
"Инди-игры","Видеоигры"
"Песочницы","Видеоигры"
"Визуальные новеллы","Видеоигры"
"Ритм-игры","Видеоигры"
"Пошаговые стратегии","Видеоигры"
"Реалтайм стратегии (RTS)","Видеоигры"
"Экономические симуляторы","Видеоигры"
"Сурвайвал-хорроры","Видеоигры"
"Третье лицо (игры с видом от третьего лица)","Видеоигры"
"Первое лицо (игры с видом от первого лица)","Видеоигры"
"Метроидвании","Видеоигры"
"Рогалики","Видеоигры"
"Стелс-игры","Видеоигры"
"Киберпанк-игры","Видеоигры"
"Файтинг","Видеоигры"
"Видеоигры по аниме","Видеоигры"
"Видеоигры по комиксам","Видеоигры"
"Игры-песочницы","Видеоигры"
"Градостроительные симуляторы","Видеоигры"
"Картинговые игры","Видеоигры"
"Логические игры","Видеоигры"
"Музыкальные игры","Видеоигры"
"Побег из комнаты","Видеоигры"
"Браузерные игры","Видеоигры"
"Готические игры","Видеоигры"
"Игры для детей","Видеоигры"
"Космические симуляторы","Видеоигры"
"Магические игры","Видеоигры"
"Пародийные игры","Видеоигры"
"Политические симуляторы","Видеоигры"
"Постапокалиптические игры","Видеоигры"
"Ретро-игры","Видеоигры"
"Социальные игры","Видеоигры"
"Фантастические игры","Видеоигры"
"Интересуюсь психоанализом","Психология"
"Фанат Фрейда","Психология"
"Изучаю юнгианскую психологию","Психология"
"Практикую когнитивно-поведенческую терапию","Психология"
"Люблю читать психологические статьи","Психология"
"Интересуюсь психотерапией","Психология"
"Изучаю детскую психологию","Психология"
"Смотрю и читаю сексологов","Психология"
"Увлекаюсь социальной психологией","Психология"
"Интересуюсь нейропсихологией","Психология"
"Люблю гештальт-терапию","Психология"
"Изучаю кризисы среднего возраста","Психология"
"Читаю книги по самопомощи","Психология"
"Практикую медитацию и майндфулнес","Психология"
"Изучаю психологию отношений","Психология"
"Увлекаюсь позитивной психологией","Психология"
"Читаю книги по саморазвитию","Психология"
"Интересуюсь психологией личности","Психология"
"Люблю разгадывать психологические тесты","Психология"
"Изучаю эмоциональный интеллект","Психология"
"Интересуюсь кризисным консалтингом","Психология"
"Читаю про психосоматику","Психология"
"Люблю наблюдать за поведением людей","Психология"
"Интересуюсь психопатологией","Психология"
"Изучаю психологию мотивации","Психология"
"Люблю анализировать сны","Психология"
"Интересуюсь психологией масс","Психология"
"Практикую психотерапию","Психология"
"Читаю книги по психологии личности","Психология"
"Интересуюсь травмотерапией","Психология"
"Люблю смотреть психологические фильмы","Психология"
"Читаю статьи по психологии","Психология"
"Интересуюсь психологией восприятия","Психология"
"Практикую арт-терапию","Психология"
"Изучаю психологию творчества","Психология"
"Интересуюсь психологией лидерства","Психология"
"Читаю про психологию успеха","Психология"
"Интересуюсь кризисной психологией","Психология"
"Практикую коучинг","Психология"
"Люблю изучать психические расстройства","Психология"
"Интересуюсь клинической психологией","Психология"
"Читаю книги по психологии семьи","Психология"
"Интересуюсь экзистенциальной психологией","Психология"
"Люблю разбирать психологические эксперименты","Психология"
"Изучаю возрастную психологию","Психология"
"Интересуюсь эволюционной психологией","Психология"
"Читаю про психологию зависимости","Психология"
"Практикую телесно-ориентированную терапию","Психология"
"Интересуюсь психологией стресса","Психология"
"Люблю обсуждать психологические теории","Психология"
"Участвую в онлайн-курсах","Образование"
"Читаю научные статьи","Образование"
"Интересуюсь педагогикой","Образование"
"Люблю изучать новые языки","Образование"
"Практикую домашнее обучение","Образование"
"Изучаю образовательные технологии","Образование"
"Интересуюсь дистанционным обучением","Образование"
"Участвую в вебинарах","Образование"
"Люблю читать учебники","Образование"
"Интересуюсь STEM-образованием","Образование"
"Практикую образовательные игры","Образование"
"Читаю научно-популярные книги","Образование"
"Интересуюсь инклюзивным образованием","Образование"
"Участвую в образовательных конференциях","Образование"
"Люблю изучать историю","Образование"
"Интересуюсь филологией","Образование"
"Читаю книги по философии","Образование"
"Практикую критическое мышление","Образование"
"Интересуюсь культурологией","Образование"
"Участвую в научных исследованиях","Образование"
"Люблю учить детей","Образование"
"Интересуюсь искусством преподавания","Образование"
"Читаю педагогические журналы","Образование"
"Практикую наставничество","Образование"
"Интересуюсь образовательной политикой","Образование"
"Участвую в научных клубах","Образование"
"Люблю обучать взрослых","Образование"
"Интересуюсь психологией образования","Образование"
"Читаю книги по истории науки","Образование"
"Практикую проектное обучение","Образование"
"Интересуюсь методиками преподавания","Образование"
"Участвую в образовательных проектах","Образование"
"Люблю разрабатывать учебные программы","Образование"
"Интересуюсь цифровыми инструментами обучения","Образование"
"Читаю статьи по методике преподавания","Образование"
"Практикую образование через игры","Образование"
"Интересуюсь виртуальной реальностью в обучении","Образование"
"Участвую в школьных мероприятиях","Образование"
"Люблю развивать школьников","Образование"
"Интересуюсь менеджментом в образовании","Образование"
"Читаю книги по психологии детей","Образование"
"Практикую коучинг в образовании","Образование"
"Интересуюсь оцениванием знаний","Образование"
"Участвую в международных образовательных проектах","Образование"
"Люблю учить через практику","Образование"
"Интересуюсь наукой об обучении","Образование"
"Читаю книги по дидактике","Образование"
"Практикую проблемное обучение","Образование"
"Интересуюсь образовательными тенденциями","Образование"
"Участвую в образовательных форумах","Образование"
"Увлекаюсь классическими автомобилями","Автомобили"
"Люблю спорткары","Автомобили"
"Интересуюсь электромобилями","Автомобили"
"Практикую дрифтинг","Автомобили"
"Люблю тюнинг автомобилей","Автомобили"
"Интересуюсь автоспортом","Автомобили"
"Читаю автожурналы","Автомобили"
"Участвую в автосоревнованиях","Автомобили"
"Интересуюсь внедорожниками","Автомобили"
"Люблю кабриолеты","Автомобили"
"Увлекаюсь ретро-автомобилями","Автомобили"
"Интересуюсь автодизайном","Автомобили"
"Практикую автомоделирование","Автомобили"
"Люблю классические мотоциклы","Автомобили"
"Интересуюсь мотоспортом","Автомобили"
"Читаю книги об автомобильной индустрии","Автомобили"
"Участвую в автомероприятиях","Автомобили"
"Люблю быстрые машины","Автомобили"
"Интересуюсь автомобилями премиум-класса","Автомобили"
"Практикую ралли","Автомобили"
"Читаю автомобильные блоги","Автомобили"
"Увлекаюсь реставрацией авто","Автомобили"
"Интересуюсь гибридными автомобилями","Автомобили"
"Люблю ретро-машины","Автомобили"
"Практикую картинг","Автомобили"
"Участвую в автопробегах","Автомобили"
"Интересуюсь автотюнингом","Автомобили"
"Читаю о новинках автопрома","Автомобили"
"Люблю автомобили с историей","Автомобили"
"Интересуюсь автодеталями","Автомобили"
"Практикую автомобильные путешествия","Автомобили"
"Читаю автобиографии автогонщиков","Автомобили"
"Участвую в автошоу","Автомобили"
"Интересуюсь автомобилями класса люкс","Автомобили"
"Люблю быстрые гонки","Автомобили"
"Практикую драгрейсинг","Автомобили"
"Читаю автоновости","Автомобили"
"Увлекаюсь автоэкспертизой","Автомобили"
"Интересуюсь концептуальными автомобилями","Автомобили"
"Люблю автомобили для дрифта","Автомобили"
"Практикую автофотографию","Автомобили"
"Читаю автобиографии инженеров","Автомобили"
"Участвую в автопутешествиях","Автомобили"
"Интересуюсь автомузеями","Автомобили"
"Люблю автомобили с уникальным дизайном","Автомобили"
"Практикую автотуризм","Автомобили"
"Читаю автопутеводители","Автомобили"
"Увлекаюсь спортивными автомобилями","Автомобили"
"Интересуюсь автомобилями для ралли","Автомобили"
"Люблю автомобили с передовыми технологиями","Автомобили"
"вяжу","Рукоделие"
"вязание","Рукоделие"
"вышивка","Рукоделие"
"швея","Рукоделие"
"шитье","Рукоделие"
"квилтинг","Рукоделие"
"макраме","Рукоделие"
"плетение из бисера","Рукоделие"
"пэчворк","Рукоделие"
"скрапбукинг","Рукоделие"
"рисование","Рукоделие"
"лепка из глины","Рукоделие"
"гончарство","Рукоделие"
"флористика","Рукоделие"
"работа с кожей","Рукоделие"
"изготовление игрушек","Рукоделие"
"бисероплетение","Рукоделие"
"топиарии","Рукоделие"
"литье свечей","Рукоделие"
"столярное дело","Рукоделие"
"графический дизайн","Рукоделие"
"выжигание по дереву","Рукоделие"
"изготовление бижутерии","Рукоделие"
"Вяжу крючком","Рукоделие"
"Шью одежду","Рукоделие"
"Люблю вышивать крестиком","Рукоделие"
"Занимаюсь квиллингом","Рукоделие"
"Практикую макраме","Рукоделие"
"Люблю создавать украшения","Рукоделие"
"Занимаюсь скрапбукингом","Рукоделие"
"Интересуюсь фелтингом","Рукоделие"
"Люблю рисовать","Рукоделие"
"Занимаюсь декупажем","Рукоделие"
"Практикую создание мыла","Рукоделие"
"Люблю делать свечи","Рукоделие"
"Интересуюсь керамикой","Рукоделие"
"Вяжу на спицах","Рукоделие"
"Занимаюсь кукольным делом","Рукоделие"
"Практикую резьбу по дереву","Рукоделие"
"Люблю работать с глиной","Рукоделие"
"Занимаюсь лоскутным шитьем","Рукоделие"
"Интересуюсь бисероплетением","Рукоделие"
"Люблю создавать открытки","Рукоделие"
"Практикую печворк","Рукоделие"
"Занимаюсь вышивкой лентами","Рукоделие"
"Интересуюсь валянием","Рукоделие"
"Люблю делать аппликации","Рукоделие"
"Занимаюсь изготовлением игрушек","Рукоделие"
"Практикую выжигание по дереву","Рукоделие"
"Люблю создавать цветы из бумаги","Рукоделие"
"Люблю модернизм","Архитектура"
"Интересуюсь готической архитектурой","Архитектура"
"Увлекаюсь классической архитектурой","Архитектура"
"Люблю барокко","Архитектура"
"Изучаю ренессанс","Архитектура"
"Интересуюсь брутализмом","Архитектура"
"Люблю ар-деко","Архитектура"
"Увлекаюсь конструктивизмом","Архитектура"
"Интересуюсь хай-теком","Архитектура"
"Люблю минимализм","Архитектура"
"Изучаю эклектику","Архитектура"
"Увлекаюсь футуризмом","Архитектура"
"Интересуюсь романским стилем","Архитектура"
"Люблю неоклассицизм","Архитектура"
"Увлекаюсь неоготикой","Архитектура"
"Интересуюсь неоренессансом","Архитектура"
"Люблю постмодернизм","Архитектура"
"Увлекаюсь органической архитектурой","Архитектура"
"Изучаю восточную архитектуру","Архитектура"
"Интересуюсь древнеримской архитектурой","Архитектура"
"Люблю древнегреческую архитектуру","Архитектура"
"Увлекаюсь ландшафтной архитектурой","Архитектура"
"Интересуюсь деревянным зодчеством","Архитектура"
"Люблю архитектурные памятники","Архитектура"
"Увлекаюсь реконструкцией зданий","Архитектура"
"Интересуюсь архитектурой будущего","Архитектура"
"Люблю современные здания","Архитектура"
"Изучаю архитектурное проектирование","Архитектура"
"Увлекаюсь городским планированием","Архитектура"
"Интересуюсь архитектурой мостов","Архитектура"
"Люблю здание небоскрёбов","Архитектура"
"Увлекаюсь интерьерным дизайном","Архитектура"
"Изучаю историю архитектуры","Архитектура"
"Интересуюсь национальными стилями","Архитектура"
"Люблю архитектурные выставки","Архитектура"
"Увлекаюсь археологией","Архитектура"
"Интересуюсь реновацией зданий","Архитектура"
"Люблю архитектуру парков","Архитектура"
"Увлекаюсь промышленным дизайном","Архитектура"
"Изучаю архитектуру высоток","Архитектура"
"Интересуюсь планировкой городов","Архитектура"
"Люблю эко-архитектуру","Архитектура"
"Увлекаюсь архитектурой музеев","Архитектура"
"Изучаю архитектуру театров","Архитектура"
"Интересуюсь архитектурой стадионов","Архитектура"
"Люблю архитектуру аэропортов","Архитектура"
"Увлекаюсь архитектурой вокзалов","Архитектура"
"Изучаю архитектурные проекты","Архитектура"
"Интересуюсь дизайном общественных зданий","Архитектура"
"Люблю архитектуру учебных заведений","Архитектура"
"Читаю гороскопы","Астрология"
"Увлекаюсь натальной астрологией","Астрология"
"Люблю изучать знаки зодиака","Астрология"
"Интересуюсь лунными фазами","Астрология"
"Практикую астрологические прогнозы","Астрология"
"Читаю книги по астрологии","Астрология"
"Увлекаюсь ведической астрологией","Астрология"
"Люблю изучать ретроградные планеты","Астрология"
"Интересуюсь планетарными аспектами","Астрология"
"Читаю астрологические блоги","Астрология"
"Увлекаюсь кармической астрологией","Астрология"
"Люблю анализировать астрологические карты","Астрология"
"Интересуюсь синастрией","Астрология"
"Читаю про транзиты планет","Астрология"
"Практикую мунданную астрологию","Астрология"
"Увлекаюсь астрологией профессий","Астрология"
"Люблю изучать астрологические дома","Астрология"
"Интересуюсь прогрессиями","Астрология"
"Читаю книги по эзотерической астрологии","Астрология"
"Увлекаюсь медицинской астрологией","Астрология"
"Люблю астрологические курсы","Астрология"
"Интересуюсь астрологией совместимости","Астрология"
"Практикую элективную астрологию","Астрология"
"Увлекаюсь астрологией личности","Астрология"
"Люблю анализировать солнечные и лунные затмения","Астрология"
"Интересуюсь астрологией любви","Астрология"
"Читаю астрологические прогнозы","Астрология"
"Увлекаюсь традиционной астрологией","Астрология"
"Люблю изучать астрологические влияния","Астрология"
"Интересуюсь гармониками","Астрология"
"Практикую христианскую астрологию","Астрология"
"Увлекаюсь китайской астрологией","Астрология"
"Люблю анализировать композитные карты","Астрология"
"Интересуюсь планетарными возвратами","Астрология"
"Читаю астрологические журналы","Астрология"
"Увлекаюсь астрологией бизнеса","Астрология"
"Люблю изучать затмения","Астрология"
"Интересуюсь астрологией судьбы","Астрология"
"Практикую астрологию событий","Астрология"
"Увлекаюсь предсказательной астрологией","Астрология"
"Люблю изучать лунные узлы","Астрология"
"Интересуюсь солярами","Астрология"
"Читаю астрологические статьи","Астрология"
"Увлекаюсь астрологией здоровья","Астрология"
"Люблю анализировать аспекты планет","Астрология"
"Интересуюсь астрологией детства","Астрология"
"Практикую кармические узлы","Астрология"
"Увлекаюсь астрологией развития","Астрология"
"Люблю астрологические прогнозы на год","Астрология"
"Интересуюсь планетарными циклами","Астрология"
"Активист за права человека","социальные  движения + политика"
"Поддерживаю феминизм","социальные  движения + политика"
"Интересуюсь экологией","социальные  движения + политика"
"Участвую в митингах","социальные  движения + политика"
"Поддерживаю ЛГБТК+ права","социальные  движения + политика"
"Читаю политические новости","социальные  движения + политика"
"Интересуюсь анархизмом","социальные  движения + политика"
"Поддерживаю демократию","социальные  движения + политика"
"Участвую в волонтерских проектах","социальные  движения + политика"
"Интересуюсь социализмом","социальные  движения + политика"
"Читаю о гражданских правах","социальные  движения + политика"
"Поддерживаю права животных","социальные  движения + политика"
"Интересуюсь антикоррупционными движениями","социальные  движения + политика"
"Участвую в социальных кампаниях","социальные  движения + политика"
"Поддерживаю антиглобализм","социальные  движения + политика"
"Читаю о политических движениях","социальные  движения + политика"
"Интересуюсь правами меньшинств","социальные  движения + политика"
"Поддерживаю права мигрантов","социальные  движения + политика"
"Участвую в политических дебатах","социальные  движения + политика"
"Интересуюсь либертарианством","социальные  движения + политика"
"Читаю о социальных реформах","социальные  движения + политика"
"Поддерживаю антифашизм","социальные  движения + политика"
"Интересуюсь трудовыми правами","социальные  движения + политика"
"Участвую в мирных протестах","социальные  движения + политика"
"Поддерживаю права женщин","социальные  движения + политика"
"Читаю о политической философии","социальные  движения + политика"
"Интересуюсь правозащитными организациями","социальные  движения + политика"
"Поддерживаю гражданскую активность","социальные  движения + политика"
"Участвую в общественных движениях","социальные  движения + политика"
"Интересуюсь политическими партиями","социальные  движения + политика"
"Читаю о международной политике","социальные  движения + политика"
"Поддерживаю права инвалидов","социальные  движения + политика"
"Участвую в кампаниях за справедливость","социальные  движения + политика"
"Интересуюсь политическим активизмом","социальные  движения + политика"
"Читаю о реформаторских движениях","социальные  движения + политика"
"Поддерживаю права студентов","социальные  движения + политика"
"Участвую в социальных инициативах","социальные  движения + политика"
"Интересуюсь общественными реформами","социальные  движения + политика"
"Читаю о политической истории","социальные  движения + политика"
"Поддерживаю борьбу с бедностью","социальные  движения + политика"
"Участвую в благотворительности","социальные  движения + политика"
"Интересуюсь правами детей","социальные  движения + политика"
"Читаю о социальном равенстве","социальные  движения + политика"
"Поддерживаю борьбу с расизмом","социальные  движения + политика"
"Участвую в общественных акциях","социальные  движения + политика"
"Интересуюсь политической экономией","социальные  движения + политика"
"Читаю о социальной справедливости","социальные  движения + политика"
"Поддерживаю права трудящихся","социальные  движения + политика"
"Участвую в акциях солидарности","социальные  движения + политика"
"Интересуюсь правами граждан","социальные  движения + политика"
"Веду личный блог","медиа"
"Веду страницу в Instagram","медиа"
"Подписан на популярных инфлюенсеров","медиа"
"Люблю снимать влог","медиа"
"Увлекаюсь сторителлингом","медиа"
"Интересуюсь видеомонтажом","медиа"
"Веду аккаунт в TikTok","медиа"
"Люблю редактировать фото","медиа"
"Веду YouTube-канал","медиа"
"Увлекаюсь подкастингом","медиа"
"Читаю о цифровом маркетинге","медиа"
"Пишу статьи для блога","медиа"
"Люблю создавать контент","медиа"
"Увлекаюсь интернет-журналистикой","медиа"
"Интересуюсь SEO","медиа"
"Веду блог о путешествиях","медиа"
"Читаю о SMM","медиа"
"Увлекаюсь графическим дизайном","медиа"
"Пишу кулинарный блог","медиа"
"Интересуюсь продвижением бренда","медиа"
"Люблю создавать инфографику","медиа"
"Веду блог о моде","медиа"
"Читаю про стратегию контента","медиа"
"Увлекаюсь фотографией","медиа"
"Веду блог о здоровье","медиа"
"Интересуюсь аналитикой соцсетей","медиа"
"Люблю создавать видеоконтент","медиа"
"Веду блог о технике","медиа"
"Читаю о копирайтинге","медиа"
"Увлекаюсь инфлюенс-маркетингом","медиа"
"Пишу блог о книгах","медиа"
"Интересуюсь таргетингом","медиа"
"Веду блог о спорте","медиа"
"Люблю создавать мемы","медиа"
"Увлекаюсь видеостримингом","медиа"
"Читаю о монетизации контента","медиа"
"Веду блог о DIY","медиа"
